Feature;Average TF-IDF Score
ai;0.051309997626539594
job;0.03956425017589034
not;0.03720439474082581
people;0.026471863411581996
replace;0.0211942365262392
human;0.019728912001703156
go;0.01787851312564739
robot;0.017443279442831545
work;0.016342215528368613
video;0.015108992306633097
get;0.015006796027315188
use;0.013772072807835834
make;0.013234095131703665
need;0.013122008127117465
take;0.01250107094207189
think;0.012130986066363885
safe;0.011985906623511474
year;0.011245128346358378
guy;0.011238400523046603
time;0.011042733092386691
well;0.010980335682221325
come;0.010547646600761903
create;0.009484601460528454
pay;0.009219941854771142
want;0.009163745191650637
money;0.009049823731453037
love;0.009015233417734829
know;0.008685903208292146
loud;0.008679346219560341
machine;0.008521141451123098
good;0.008510710299429361
become;0.008365226933754999
thing;0.008307387570914832
look;0.008203997649295585
future;0.008092401044785856
say;0.00781000773173532
chatgpt;0.007699638459831986
way;0.007451802846258123
laugh;0.007347231222050232
government;0.0071823627462441674
already;0.007165691575656179
great;0.006909651511605751
world;0.006901696150191978
live;0.0067800709024506325
never;0.006750728526583401
fuck;0.006592951901522208
technology;0.006519252440351251
life;0.006509745311666539
even;0.006493088343631169
run;0.006319644125294777
see;0.006269108763990257
always;0.006267281073510084
learn;0.006220004167617799
question;0.006189253276538615
god;0.006156585482058835
many;0.00606427102691643
watch;0.006039493576481422
income;0.0060071063109809475
give;0.006002613796194834
high;0.005953988180209701
end;0.005923106190761224
new;0.005878904520881688
remember;0.00580288129776304
labor;0.005743664513777629
care;0.005686354480177814
field;0.005434948069754107
company;0.005423652197396997
actually;0.005413071093534811
sure;0.005341216398849073
much;0.005328497407100747
happen;0.005304323425385851
software;0.005299121848044528
back;0.00527909807252084
everything;0.00526113486696555
developer;0.005249309285441153
someone;0.005229507833831559
word;0.005227178783103505
first;0.00510800705601566
engineer;0.0050689639673531075
lot;0.005051337889656161
next;0.005040640996542382
free;0.00500703784660631
rich;0.004957141956281585
long;0.004908498847737328
something;0.004883486280837264
buy;0.00487841685006949
right;0.004871811019057077
tax;0.004869990767617524
change;0.0048506984383067525
best;0.004845800128071831
creative;0.004832821931792568
joe;0.004819221292456097
day;0.004782443922985259
talent;0.004760825753502862
career;0.004735353523137776
business;0.0047253982436771345
intelligence;0.0046258823625067134
wait;0.0045954111865074134
cheap;0.004590353425828678
system;0.004558827970244593
try;0.004556626021422615
farmer;0.0045351473922902496
trade;0.0045312225168701375
electrician;0.004455951544844417
worker;0.004425970165106336
man;0.004417655638238147
tool;0.004409982786421805
thank;0.004395845872439968
die;0.004388042122463909
everyone;0.004368864798436245
thanks;0.00435420619396802
humanoid;0.004338262734472132
also;0.004335929150302854
real;0.004284540704241483
keep;0.004283541719813972
play;0.004175653594601549
nurse;0.004155700319560775
adapt;0.004146342590095918
basic;0.0041318791855935455
skill;0.00413076568712063
fire;0.004082319613415724
race;0.004064714869763745
mind;0.004010542666346903
point;0.003965345147891648
let;0.003908330200456393
internet;0.0038898359982814973
society;0.003881561597958743
yes;0.0038406864638332455
wrong;0.0038399676633169852
solution;0.0038278032120669663
start;0.0038067008521137286
pretty;0.0037845217875502445
different;0.0037749968518603805
talk;0.0037633648191891245
danger;0.003734716730785739
advantage;0.003702301028780557
universal;0.003701221177765092
program;0.0036864258103301768
biology;0.0036857753619886583
form;0.0036780133325632703
